ulasan,sentimen
"bagus banget banyak bonuss di aplikasinya jadi seneng banget ada xl point juga bagus kalo bisa xl pointnya di banyakan dan cepat mencapai level, pertahankan dan banyakin lagi bonusnya ya, untuk apknya juga sudah bagus tetapi masih ada bug juga, dan kok di xlnya masih ada masa tenggang ya padahal saya sudah membeli kouta.",1
"Sebenernya aplikasi ini better dibanding punya sebelah, gak berat dan cukup informatif. Soalnya fiturÂ²nya standar gak yang beribu terus akhirnya gak kepake cuman bikin berat aja. Paling kedepannya ada mode darkmode sih supaya lebih adem aja dimata",1
"Sangat membantu Bisa di akses walaupun kuota internet habis, tersedia banyak bonus, reward dll. Apalagi bonus kuota emergency sangat membantu saya, tiba2 kuota habis ga bisa buka m-banking untuk ada bonus di my-xl jadi bisa langsung isi ulang pulsa ðŸ«¶ðŸ»ðŸ¤— Lovee bgt deh, mana banyak promo ðŸ’• Sukses ya",1
"sy sangat puas dengan fitur""dari my xl,sy berharap bisa dapat ditingkatkan lg untuk sistem nya, yg mencakup ttg jaringan internetnya,msalh poin nya jg bisa dipermudah lagi untuk ditukarkan dengan voucer/kuota nya. semoga sukses trus my xl&lebih baik lg kedepan nya.",1
Setelah pindah ke layanan XL Prioritas. Sinyal dan kecepatan pun semakin meningkat dan membuat nyaman untuk terus menggunakannya. Apalagi ada fitur autopay berlangganan paketnya. Jadi gak sampai kehabisan atau lupa memperpanjang paketnya. Terima kasih XL,1
"Aplikasi MyXL buat saya, lancar-lancar saja ketika sedang membeli paket data dan pulsa, juga tersedia menu ""Bebas Puas"",menu tersebut sangat membantu saya ketika kondisi pulsa tinggal sedikit ketika keadaan mepet, semoga kedepannya terus terjaga sistem menu-menu yang inovatif seperti ini :)",1
"makasih XL yang udah sering kasih kuota gratis, saya orang miskin jujur harga paket XL buat saya termasuk mahal, tiap beli paket pun cuman yang harga 10k, tapi kadang dapet kuota gratis 500mb atau 150mb udah lumayan banget, semoga kedepannya terus seperti ini.ðŸ™‚ saran saya tolong kalo misalnya ada lebih dari 3 paket utama, tolong sedot yang waktunya mendekati masa tenggang dulu ðŸ¥º makasih kalo kedepannya mau diterapkan",1
Allhmdulillh sekarang sudah tidak ada kendala saat perpanjang paket seperti dulu kuota hanya sebagian yang masuk.. Terus tingkatkan lagi min berbanyak promo dan bonus.. Jangan kecewakan pelanggan.. Terima kasih..ðŸ™,1
"Sebagai pengguna XL, XL sangat memuaskan saya. Jaringan yang selalu stabil, streaming stabil bahkan download apapun stabil! Dan yang lebih memuaskan adalah fitur ambil bonus setiap pengisian ulang pulsa.",1
"Saya sudah pakai XL puluhan tahun, dari mulai awal punya HP sampai today. Perkembangan kemajuan jaringan XL dapat dirasakan dan tentunya hal ini juga menjadikan XL pilihan utama saya untuk saya gunakan ""berselancar"" Terimakasih juga untuk ""call center"" XL yg suka mengingatkan kalau masa aktif kuota ""hampir end"" Pokoknya pakai XL gak kecewa, apalagi dapat XL Point .... Maju terus XL ....",1
saya sebagai user baru XL merasa sangat senang karena harga paket yang terjangkau dan konten paket setara dengan harganya..... terima kasih sudah memberikan yang terhebat untuk pelanggan khususnya pelanggan baru,1
"sangat puas dengan aplikasi ini, bisa cek kuota jadi lebih cepat dan pilihan paketnya sangat menarik dan tidak menguras kantong, semoga semakin lancar dan sukses my XL",1
"Gw suka nih yang kayak gini, kasih ulasan langsung dibales. Sesuai janji, gw kasih 5 star karena beneran dikasih diskon njirrr ðŸ˜ˆ. Kasih diskon lagi dong, kayak 50k dapet 100GBðŸ˜¹, wkwk canda sih, tapi kalau dikasih beneran GG banget sih kalian. XL bakal jadi kartu utama gw terus sih, lanjutin pelayanan kayak gini broo mantap bgt soalnyaðŸ˜„ðŸ‘",1
"Terimakasih myXL , telah menemani hari hari saya, dulu awalnya memang agak mengecewakan, baik dari segi pemakaian dan jaringan telepon maupun internet, sekarang Alhamdulillah, XL semakin meningkatkan kualitas pelayanan dan jaringan yang stabil, bahkan di pelosok, saya makin cinta dengan XL, pertahankan dan terus tingkatkan..",1
"XL semakin ok, pulsa saya sudah tidak hilang lagi, aman dan nyaman. juga banyak bonus dan diskon, terbantu karna harganya murah meriah, keren. kalau boleh usul disediakan juga paket untuk perpanjang masa aktif.",1
Alhamdulillah sejak memakai XL Prioritas komunikasi lancar kalaupun ada kendala semisal sedang bicara tiba2 GK konex biasa itu masalah jaringan cuaca buruk. Tapi bisa teratasi cuma berpindah posisi aja,1
"aplikasi my XL memudah kan kita untuk mengisi saldo dan paket data berbagai fitur promo lengkap ,saya suka aplikasi ini, tolong lebih di tingkat kan kembali,terima kasih",1
"Sangat membantu dengan pakai my xl banyak penawaran paketÂ² dan banyak diskon ny sampe 70% yang gk ada kalo langsung beli reguler, dan lebih bagus ny lagi sekali beli jadi langganan ðŸ‘ðŸ¼ðŸ‘ðŸ¼ðŸ‘ðŸ¼",1
